,EURIBOR,Gold,Gold.1,JPM,JPM.1,JPM.2,JPM.3,JPM.4,JPM.5,SP500,SP500.1,SP500.2,SP500.3,SP500.4,Siemens,Siemens.1,Siemens.2,Siemens.3,Siemens.4,Siemens.5,XR,XR.1,XR.2,XR.3,XR.4,EUROSTOXX,EUROSTOXX.1,EUROSTOXX.2,EUROSTOXX.3,EUROSTOXX.4,EUROSTOXX.5
Date,rate,USD,EUR,Open,High,Low,Close,Adj Close,Volume,Price,Open,High,Low,Change %,Open,High,Low,Close,Adj Close,Volume,Price,Open,High,Low,Change %,Open,High,Low,Close,Adj Close,Volume
1/1/2014,-0.508,"1,204.50",872.8,58.310001,58.5,57.970001,58.209999,43.791924,15627600,"1,831.98","1,845.86","1,845.86","1,827.74",-0.89%,90.416405,90.957275,89.208443,89.235489,61.293823,3186241,0.7271,0.7274,0.7277,0.7262,-0.05%,326.140015,328.089996,325.279999,327.640015,327.640015,220228300
1/2/2014,-0.508,"1,225.00",895.8,58.310001,58.5,57.970001,58.209999,43.791924,15627600,"1,831.98","1,845.86","1,845.86","1,827.74",-0.89%,90.416405,90.957275,89.208443,89.235489,61.293823,3186241,0.7314,0.7268,0.7337,0.7258,0.59%,326.140015,328.089996,325.279999,327.640015,327.640015,220228300
1/3/2014,-0.508,"1,234.50",907.4,58.290001,58.950001,58.209999,58.66,44.130463,14214100,"1,831.37","1,833.21","1,838.24","1,829.13",-0.03%,89.109283,89.902573,88.018517,89.695236,61.609615,1628279,0.7359,0.7314,0.7363,0.7312,0.62%,326.140015,328.089996,325.279999,327.640015,327.640015,220228300
1/6/2014,-0.508,"1,246.30",913.7,59.16,59.470001,58.830002,59,44.386253,17550700,"1,826.77","1,832.31","1,837.16","1,823.73",-0.25%,89.469872,90.100891,89.208443,89.415779,61.417664,1404807,0.7338,0.7357,0.7369,0.7323,-0.29%,327.100006,328.119995,326.51001,326.980011,326.980011,194489900
1/7/2014,-0.508,"1,227.50",900.7,59.290001,59.43,58.110001,58.32,43.874676,17851200,"1,837.88","1,828.71","1,840.10","1,828.71",0.61%,89.298592,89.866508,88.748703,89.866508,61.727257,1704454,0.7345,0.7337,0.7355,0.7321,0.10%,327.230011,329.75,326.679993,329.399994,329.399994,344684700
1/8/2014,-0.508,"1,221.00",899.8,58.540001,58.91,58.299999,58.869999,44.288452,14687400,"1,837.49","1,837.90","1,840.02","1,831.40",-0.02%,89.929611,89.956657,88.397133,88.721657,60.940884,2165040,0.7366,0.7344,0.7377,0.7333,0.29%,329.529999,329.910004,328.779999,329.75,329.75,378094300
1/9/2014,-0.508,"1,226.00",902.6,58.98,59,58.330002,58.759998,44.205696,13242500,"1,838.13","1,839.00","1,843.23","1,830.38",0.03%,88.478264,89.217461,88.081619,88.126694,60.532223,2126776,0.7349,0.7365,0.738,0.7334,-0.23%,329.790009,330.950012,327.820007,328.410004,328.410004,356556600
1/10/2014,-0.508,"1,244.30",910.7,58.669998,58.759998,58.18,58.490002,44.002571,12694900,"1,842.37","1,840.06","1,843.15","1,832.43",0.23%,87.80217,88.775742,87.576805,88.288956,60.643681,2568997,0.7316,0.7347,0.7367,0.7305,-0.45%,329,331.570007,329,329.950012,329.950012,289737000
1/13/2014,-0.508,"1,248.00",914,58.509998,58.669998,57.529999,57.700001,43.408253,20711600,"1,819.20","1,841.26","1,843.45","1,815.52",-1.26%,88.577423,88.947021,88.045563,88.811806,61.002804,1654179,0.7315,0.7314,0.7332,0.7306,-0.01%,330.559998,331.079987,329.859985,330.720001,330.720001,251150800
1/14/2014,-0.508,"1,251.50",914.6,58.299999,58.580002,57.560001,57.740002,43.438339,30272400,"1,838.88","1,821.36","1,839.26","1,821.36",1.08%,88.16275,89.001106,87.576805,89.001106,61.132847,2246364,0.731,0.7314,0.7326,0.7299,-0.07%,329,331.329987,327.339996,331.230011,331.230011,283786700
1/15/2014,-0.508,"1,236.00",909.2,57.73,59.650002,57.73,59.490002,44.754883,35186600,"1,848.38","1,840.52","1,850.84","1,840.52",0.52%,89.244507,91.36293,89.091255,91.36293,62.755127,3373911,0.735,0.7308,0.7364,0.7307,0.55%,331.869995,334.600006,331.869995,334.51001,334.51001,341459700
