Date,EURIBOR,Gold USD,Gold EUR,JPM Close,SP500 ,Siemens Close,XR,EUROSTOXX Close
1/1/2014,-0.508,"1,204.50",872.8,58.209999,"1,831.98",89.235489,0.7271,327.640015
1/2/2014,-0.508,"1,225.00",895.8,58.209999,"1,831.98",89.235489,0.7314,327.640015
1/3/2014,-0.508,"1,234.50",907.4,58.66,"1,831.37",89.695236,0.7359,327.640015
1/6/2014,-0.508,"1,246.30",913.7,59,"1,826.77",89.415779,0.7338,326.980011
1/7/2014,-0.508,"1,227.50",900.7,58.32,"1,837.88",89.866508,0.7345,329.399994
1/8/2014,-0.508,"1,221.00",899.8,58.869999,"1,837.49",88.721657,0.7366,329.75
1/9/2014,-0.508,"1,226.00",902.6,58.759998,"1,838.13",88.126694,0.7349,328.410004
1/10/2014,-0.508,"1,244.30",910.7,58.490002,"1,842.37",88.288956,0.7316,329.950012
1/13/2014,-0.508,"1,248.00",914,57.700001,"1,819.20",88.811806,0.7315,330.720001
1/14/2014,-0.508,"1,251.50",914.6,57.740002,"1,838.88",89.001106,0.731,331.230011
1/15/2014,-0.508,"1,236.00",909.2,59.490002,"1,848.38",91.36293,0.735,334.51001
1/16/2014,-0.508,"1,241.50",913.3,58.990002,"1,845.89",90.145966,0.7341,333.98999
1/17/2014,-0.508,"1,250.00",923.7,58.110001,"1,838.70",90.641769,0.7385,335.820007
1/20/2014,-0.508,"1,255.80",926.1,58.110001,"1,838.70",90.506546,0.7379,335.5
1/21/2014,-0.508,"1,238.00",913.7,58.169998,"1,843.80",90.118919,0.7373,335.76001
1/22/2014,-0.508,"1,241.00",915.8,57.59,"1,844.86",88.802788,0.7381,336.059998
1/23/2014,-0.508,"1,263.00",923.6,56.470001,"1,828.46",88.33403,0.7301,332.690002
1/24/2014,-0.508,"1,267.00",926,55.09,"1,790.29",86.837608,0.7311,324.75
1/27/2014,-0.508,"1,260.50",921.5,55.09,"1,781.56",87.81118,0.7314,322.019989
1/28/2014,-0.508,"1,251.30",915.8,55.740002,"1,792.50",89.190414,0.7316,324.220001
1/29/2014,-0.508,"1,264.00",925.3,55.529999,"1,774.20",85.521477,0.7319,322.390015
1/30/2014,-0.508,"1,242.50",916.8,56,"1,794.19",84.863411,0.7377,323.320007
1/31/2014,-0.508,"1,251.00",926.3,55.360001,"1,782.59",84.701149,0.7414,322.519989
2/3/2014,-0.4119,"1,262.00",933.6,54.310001,"1,741.89",83.583336,0.7393,318.209991
2/4/2014,-0.4119,"1,250.30",924.7,54.950001,"1,755.20",82.790054,0.7397,317.579987
2/5/2014,-0.4119,"1,254.50",927,55.209999,"1,751.64",83.006401,0.7389,318.040009
2/6/2014,-0.4119,"1,256.50",923.8,56.48,"1,773.43",83.808701,0.7358,322.769989
2/7/2014,-0.4119,"1,259.30",924.5,56.619999,"1,797.02",84.196327,0.7334,325.089996
2/10/2014,-0.4119,"1,277.00",936.1,56.740002,"1,799.84",84.052094,0.7328,325.299988
2/11/2014,-0.4119,"1,282.00",939.3,57.43,"1,819.75",84.809326,0.7332,329.519989
2/12/2014,-0.4119,"1,289.50",949.2,57.52,"1,819.26",85.106804,0.7356,332
2/13/2014,-0.4119,"1,296.00",948.1,58.029999,"1,829.83",84.998627,0.7309,331.480011
2/14/2014,-0.4119,"1,320.00",963.9,58.150002,"1,838.63",85.692757,0.7304,333.320007
2/17/2014,-0.4119,"1,327.50",969.2,58.150002,"1,838.63",86.035309,0.7295,333.320007
2/18/2014,-0.4119,"1,320.80",960.3,58.490002,"1,840.76",85.395271,0.7268,334.600006
2/19/2014,-0.4119,"1,320.50",960.2,57.259998,"1,828.75",85.800926,0.7281,334.940002
